                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.46297,                0.27074,                0.83754,                0.99278,                0.98571,                0.99472,                0.78421,                0.92017,                0.41953,                 1.0758,               0.000614,               0.000614,               0.000614
                     72,                0.45156,                0.26553,                0.83687,                0.99224,                0.98571,                0.99472,                0.78028,                0.89822,                0.42626,                 1.0546,              0.0005942,              0.0005942,              0.0005942
                     73,                0.47639,                0.27873,                0.83788,                0.99735,                      1,                  0.995,                0.78642,                0.96538,                 0.3987,                  1.087,              0.0005744,              0.0005744,              0.0005744
                     74,                0.44183,                0.25953,                0.83769,                0.98321,                      1,                0.99486,                0.77923,                 1.0793,                0.49508,                   1.12,              0.0005546,              0.0005546,              0.0005546
                     75,                0.44763,                0.26975,                0.83957,                0.98591,                0.99932,                0.99303,                0.77097,                 1.0853,                0.50615,                 1.0938,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.4484,                0.25574,                0.84459,                0.98861,                0.98571,                0.99472,                0.77339,                0.99456,                0.50307,                  1.062,               0.000515,               0.000515,               0.000515
                     77,                0.43527,                0.25613,                0.82633,                0.99666,                0.98571,                0.99459,                0.77261,                 1.0324,                0.48428,                 1.0794,              0.0004952,              0.0004952,              0.0004952
                     78,                0.44007,                0.25811,                0.84041,                0.98736,                0.98571,                0.99472,                0.77024,                  1.019,                0.46209,                 1.0945,              0.0004754,              0.0004754,              0.0004754
                     79,                0.44338,                0.25622,                0.83806,                0.98454,                0.98571,                0.99472,                0.78997,                0.97611,                0.49036,                 1.1132,              0.0004556,              0.0004556,              0.0004556
                     80,                0.41875,                0.24449,                 0.8359,                0.97149,                      1,                0.99472,                0.78772,                0.92956,                0.53099,                 1.0508,              0.0004358,              0.0004358,              0.0004358
                     81,                0.41332,                0.24438,                0.82763,                0.97146,                      1,                0.99472,                0.79483,                0.92653,                0.50171,                  1.091,               0.000416,               0.000416,               0.000416
                     82,                0.41905,                0.24445,                0.82847,                0.97144,                      1,                0.99472,                 0.7909,                0.95399,                0.52541,                 1.0731,              0.0003962,              0.0003962,              0.0003962
                     83,                0.42315,                0.24904,                0.82841,                0.97146,                      1,                0.99458,                0.80217,                0.90546,                0.47891,                 1.0283,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42586,                0.25024,                0.84353,                0.98509,                      1,                0.99472,                0.81955,                0.92026,                 0.4402,                 1.0395,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42629,                0.24439,                0.82381,                0.98582,                0.99304,                0.99486,                 0.7986,                0.93903,                0.42973,                 1.0388,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.4128,                0.23806,                0.82488,                      1,                0.99471,                  0.995,                0.78808,                0.94249,                 0.4882,                 1.0056,               0.000317,               0.000317,               0.000317
                     87,                0.41319,                0.23738,                0.82954,                      1,                0.99745,                  0.995,                0.80139,                0.94548,                0.45888,                 1.0273,              0.0002972,              0.0002972,              0.0002972
                     88,                0.43283,                0.24725,                0.83252,                      1,                0.99477,                  0.995,                0.80803,                0.92124,                0.41713,                 1.0446,              0.0002774,              0.0002774,              0.0002774
                     89,                0.39254,                0.23453,                0.82233,                      1,                0.99873,                  0.995,                0.80442,                0.93281,                0.40753,                 1.0311,              0.0002576,              0.0002576,              0.0002576
                     90,                0.41073,                0.23492,                0.82586,                      1,                0.99722,                  0.995,                0.80263,                0.94633,                0.42096,                 1.0469,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.3969,                0.22523,                0.83758,                0.99109,                0.98571,                0.99486,                0.79327,                0.96919,                0.45216,                 1.0616,               0.000218,               0.000218,               0.000218
                     92,                 0.3797,                0.21321,                0.82553,                0.99361,                0.98571,                0.99486,                0.80277,                0.94935,                 0.4414,                 1.0611,              0.0001982,              0.0001982,              0.0001982
                     93,                0.38774,                0.21761,                0.84151,                      1,                0.99765,                  0.995,                0.80878,                0.95116,                0.41302,                 1.0613,              0.0001784,              0.0001784,              0.0001784
                     94,                0.36741,                0.20888,                 0.8205,                0.99887,                      1,                  0.995,                0.80585,                0.94244,                0.39808,                 1.0616,              0.0001586,              0.0001586,              0.0001586
                     95,                0.37666,                0.21643,                0.82065,                0.99968,                      1,                  0.995,                 0.8027,                    0.9,                0.40236,                 1.0359,              0.0001388,              0.0001388,              0.0001388
                     96,                0.37442,                0.21101,                0.83416,                      1,                0.99479,                  0.995,                0.81388,                0.90778,                0.42809,                 1.0289,               0.000119,               0.000119,               0.000119
                     97,                0.36907,                 0.2072,                0.82716,                0.98248,                      1,                0.99486,                 0.8045,                0.90701,                0.45324,                 1.0314,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36803,                0.20433,                0.81518,                0.98203,                      1,                0.99486,                0.81108,                0.91782,                0.44773,                  1.033,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36636,                0.20333,                0.82202,                0.98633,                0.98571,                0.99486,                0.80729,                0.91624,                0.44631,                 1.0381,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.36146,                0.20718,                0.82421,                0.98892,                0.98571,                0.99486,                0.80631,                0.90203,                0.43482,                 1.0288,               3.98e-05,               3.98e-05,               3.98e-05
